area_name,total_number_of_households,number_of_households_having_bathing_facility_within_the_premises___yes___bathroom,number_of_households_having_bathing_facility_within_the_premises___yes___enclosure_without_roof,number_of_households_having_bathing_facility_within_the_premises___no,waste_water_outlet_connected_to___closed_drainage,waste_water_outlet_connected_to___open_drainage,waste_water_outlet_connected_to___no_drainage
Jammu & Ka,517168,446658,25942,44568,169283,260577,87308
Himachal P,166043,149876,4213,11954,107929,47416,10698
Punjab,2094067,1828202,157454,108411,1206879,696702,190486
Chandigar,228276,197817,6997,23462,199390,19762,9124
Uttarakha,592223,519246,32100,40877,250264,299936,42023
Haryana,1751901,1508874,113899,129128,865822,750246,135833
Nct Of Del,3261423,2847775,129202,284446,1967011,1165351,129061
Rajasthan,3090940,2450425,306019,334496,1064468,1594931,431541
Uttar Pra,7449195,5193500,1109506,1146189,2397065,4557591,494539
Bihar,2013671,920775,461245,631651,603171,834418,576082
Sikkim,35761,32019,879,2863,14135,18807,2819
Arunacha,65891,44306,8835,12750,10317,33309,22265
Nagaland,115054,92923,15666,6465,9946,78098,27010
Manipur,171400,83393,29286,58721,10350,110315,50735
Mizoram,116203,97213,7050,11940,23736,68622,23845
Tripura,235002,109394,40924,84684,17049,108551,109402
Meghalay,116102,86171,6591,23340,20767,72506,22829
Assam,992742,711564,127654,153524,153261,406146,433335
West Beng,6350113,3808042,678833,1863238,1549545,2694331,2106237
Jharkhand,1495642,827687,216308,451647,371964,687008,436670
Odisha,1517073,826804,149185,541084,301342,594399,621332
Chattisga,1238738,674304,160110,404324,216524,636986,385228
Madhya Pr,3845232,2689235,592535,563462,1227319,1938967,678946
Gujarat,5416315,4604333,294837,517145,3761042,714800,940473
Daman & Di,47631,35206,4886,7539,22167,14623,10841
Dadra & Na,37655,30373,3512,3770,17689,5919,14047
Maharash,10813928,9298003,1014011,501914,6780734,3076258,956936
Andhra Pr,6778225,5803240,474003,500982,3362348,2620014,795863
Karnataka,5315715,4874674,249269,191772,3005430,1651008,659277
Goa,198139,175730,12332,10077,108508,45953,43678
Lakshadw,8180,7896,91,193,1214,907,6059
Kerala,3620696,3214669,147849,258178,1214550,760505,1645641
Tamil Nadu,8929104,6741681,863509,1323914,3996676,2694850,2237578
Puducher,206143,173332,16276,16535,66668,103556,35919
Andaman &,34346,29376,2863,2107,4142,25410,4794
