area_name,total_number_of_households,number_of_households_having_bathing_facility_within_the_premises___yes___bathroom,number_of_households_having_bathing_facility_within_the_premises___yes___enclosure_without_roof,number_of_households_having_bathing_facility_within_the_premises___no,waste_water_outlet_connected_to___closed_drainage,waste_water_outlet_connected_to___open_drainage,waste_water_outlet_connected_to___no_drainage
Jammu & Ka,40145,23202,7500,9443,8439,23999,7707
Himachal P,30610,25092,1262,4256,16717,10462,3431
Punjab,564681,416489,89026,59166,251508,246894,66279
Chandigar,42921,32759,2367,7795,33692,6040,3189
Uttarakha,84813,63591,7911,13311,25871,50569,8373
Haryana,327075,229119,45268,52688,106835,182167,38073
Nct Of Del,553888,418841,39183,95864,287662,241299,24927
Rajasthan,503928,297591,97246,109091,110216,290528,103184
Uttar Pra,1113083,580166,231824,301093,243431,756803,112849
Bihar,247750,59852,58039,129859,43990,102428,101332
Sikkim,2639,2168,98,373,918,1385,336
Manipur,14452,4240,2335,7877,1000,10820,2632
Mizoram,2617,1956,169,492,741,1317,559
Tripura,55719,16516,10967,28236,2699,21211,31809
Meghalaya,5765,4078,408,1279,1155,3483,1127
Assam,133756,82770,21201,29785,17602,51318,64836
West Beng,1173282,474517,158025,540740,157902,426076,589304
Jharkhand,175876,55820,30055,90001,23505,81882,70489
Odisha,248407,79055,25990,143362,30138,81357,136912
Chattisga,169031,60362,27865,80804,17955,84700,66376
Madhya Pr,617360,316127,149927,151306,136896,330761,149703
Gujarat,504377,415252,34716,54409,345741,66105,92531
Daman & Di,1247,1006,99,142,565,242,440
Dadra & Na,1968,1414,208,346,797,276,895
Maharash,1534305,1189611,232010,112684,831080,531526,171699
Andhra Pr,855903,623301,105358,127244,348704,350389,156810
Karnataka,630164,507719,61714,60731,284490,235261,110413
Goa,8964,6469,1398,1097,3557,3765,1642
Kerala,296436,204384,28403,63649,50189,58788,187459
Tamil Nadu,1343901,742245,230687,370969,436861,403322,503718
Puducher,22189,13422,4070,4697,4806,11727,5656
