area_name,total_number_of_households,number_of_households_having_bathing_facility_within_the_premises___yes___bathroom,number_of_households_having_bathing_facility_within_the_premises___yes___enclosure_without_roof,number_of_households_having_bathing_facility_within_the_premises___no,waste_water_outlet_connected_to___closed_drainage,waste_water_outlet_connected_to___open_drainage,waste_water_outlet_connected_to___no_drainage
Jammu & Ka,18712,12197,1203,5312,4440,5585,8687
Himachal P,7791,6833,214,744,4947,2172,672
Uttarakha,12692,10290,857,1545,4784,6152,1756
Rajasthan,132119,80434,20044,31641,36487,58549,37083
Uttar Pra,153150,102089,25079,25982,52057,86130,14963
Bihar,35984,14205,8963,12816,9344,15324,11316
Sikkim,10257,9277,247,733,4075,5417,765
Arunacha,32464,22628,3971,5865,5602,17243,9619
Nagaland,82222,68278,10228,3716,6204,55913,20105
Manipur,20909,12788,4092,4029,1405,12775,6729
Mizoram,109401,92120,6568,10713,22131,64899,22371
Tripura,12898,7265,1595,4038,1299,6224,5375
Meghalay,79425,56062,4994,18369,12374,47633,19418
Assam,72906,47600,10363,14943,9713,26724,36469
West Beng,157103,73723,17522,65858,29616,61555,65932
Jharkhand,176086,66887,28493,80706,22879,60228,92979
Odisha,149699,38875,14947,95877,14614,39910,95175
Chattisga,135451,49944,18328,67179,14553,51802,69096
Madhya Pr,244588,109072,50172,85344,46723,98412,99453
Gujarat,312513,208635,43960,59918,170598,40114,101801
Daman & Di,1780,987,445,348,650,269,861
Dadra & Na,6068,2750,1722,1596,1018,619,4431
Maharash,573942,443897,79586,50459,317750,167867,88325
Andhra Pr,235298,165070,25954,44274,100074,78168,57056
Karnataka,225885,187924,21211,16750,103786,83294,38805
Goa,14185,9139,2898,2148,3544,5490,5151
Lakshadw,7591,7391,55,145,1050,832,5709
Kerala,20376,16214,1228,2934,6150,4455,9771
Tamil Nadu,144711,99824,16729,28158,70778,32297,41636
Andaman &,465,445,14,6,48,378,39
