sl__no_,name_of_state_ut,no__of_main_workers_in_the_age_group_of_5_14_years
1,Andaman & Nicobar Island,999
2,Andhra Pradesh **,404851
3,Arunachal Pradesh,5766
4,Assam,99512
5,Bihar,451590
6,Chandigarh U.T.,3135
7,Chhattisgarh,63884
8,Dadra & Nagar Haveli,1054
9,Daman & Diu U.T.,774
10,Delhi U.T.,26473
11,Goa,6920
12,Gujarat,250318
13,Haryana,53492
14,Himachal Pradesh,15001
15,Jammu & Kashmir,25528
16,Jharkhand,90996
17,Karnataka,249432
18,Kerala,21757
19,Lakshadweep UT,28
20,Madhya Pradesh,286310
21,Maharashtra,496916
22,Manipur,11805
23,Meghalaya,18839
24,Mizoram,2793
25,Nagaland,11062
26,Odisha,92087
27,Puducherry U.T.,1421
28,Punjab,90353
29,Rajasthan,252338
30,Sikkim,2704
31,Tamil Nadu,151437
32,Tripura,4998
33,Uttar Pradesh,896301
34,Uttarakhand,28098
35,West Bengal,234275
Total,Total,4353247
