sr_no_,area_name,flush_pour_flush_latrine,pit_latrine,night_soil_disposed_into_open_drain,service_latrine,public_latrine,open
INDIA,INDIA,57.7,6.2,1.6,0.6,15.1,18.9
1,JAMMU & KASHMIR,55.3,6.2,17.9,8.8,2.7,9.1
2,HIMACHAL PRADESH,77.1,1.4,7,0.1,5.1,9.4
3,PUNJAB,79.2,8.4,0.9,0.2,0.8,10.5
4,CHANDIGARH,2.9,1.0,0,0,76.6,19.4
5,UTTARAKHAND,83.0,7.2,1.2,0.2,2.2,6.1
6,HARYANA,67.6,10.6,1.6,0.2,2.7,17.3
7,NCT OF DELHI,47.9,0.6,1.5,0.1,37.4,12.5
8,RAJASTHAN,59.8,8.4,3.3,0.1,2.1,26.3
9,UTTAR PRADESH,70.6,3.1,2.2,1.5,3.8,18.8
10,BIHAR,47.7,5.2,0.5,0.5,3.7,42.5
11,SIKKIM,85.1,5.9,0.1,0,6.3,2.6
12,ARUNACHAL PRADESH,50.4,32.1,1,0.2,2.8,13.5
13,NAGALAND,76.5,16.5,0.1,0.1,5.4,1.3
14,MIZORAM,85.9,13.2,0.1,NA,0.3,0.5
15,TRIPURA,42.7,50.7,1.7,0.2,2.6,2.0
16,MEGHALAYA,85.4,6.3,0.6,0.4,3.6,3.7
17,ASSAM,60.2,24.1,0.9,1.2,3.1,10.5
18,WEST BENGAL,60.1,21.4,0.4,0.6,6.4,11.1
19,JHARKHAND,49.9,2.2,0.4,0.2,5.4,41.9
20,ODISHA,40.5,5.0,1.4,1.2,3.5,48.3
21,CHATTISGARH,46.9,1.3,0.3,0.1,9.7,41.6
22,MADHYA PRADESH,59.3,2.1,1.1,0.4,5.5,31.6
23,GUJARAT,61.3,2.2,0.8,0.1,14.3,21.3
24,MAHARASHTRA,37.9,2.1,1.2,0.5,48.6,9.8
25,ANDHRA PRADESH,75.1,4.3,2.5,0.5,2.9,14.8
26,KARNATAKA,48.1,13.3,1.3,0.6,11.7,25.0
27,GOA,60.4,0.2,0.2,0.2,31.7,7.3
28,KERALA,71.4,20.4,0.8,0.6,3.5,3.3
29,TAMIL NADU,55.8,3.4,1.5,0.4,15.9,23.1
30,PUDUCHERRY,61.3,1.3,0.2,0,12.3,24.9
31,ANDAMAN & NICOBAR ISLANDS,65.8,0.1,0.1,0.1,20.0,14.0
