states_uts,women_age_15_49_years_who_have_a_mobile_phone_that_they_themselves_use____
Andaman and Nicobar Islands,80.8
Andhra Pradesh,48.9
Arunachal Pradesh,76.4
Assam,57.2
Bihar,51.4
Chandigarh,70.0
Chhattisgarh,40.7
Dadra and Nagar Haveli and Daman and Diu,60.5
Goa,91.2
Gujarat,48.8
Haryana,50.4
Himachal Pradesh,79.5
Jammu and Kashmir,75.2
Jharkhand,49.0
Karnataka,61.8
Kerala,86.6
Ladakh,81.2
Lakshadweep,84.0
Madhya Pradesh,38.5
Maharashtra,54.8
Manipur,72.2
Meghalaya,67.5
Mizoram,82.3
Nagaland,82.5
Delhi,73.8
Odisha,50.1
Puducherry,82.8
Punjab,61.2
Rajasthan,50.2
Sikkim,88.6
Tamil Nadu,74.6
Telangana,60.0
Tripura,53.1
Uttar Pradesh,46.5
Uttarakhand,60.9
West Bengal,50.1
India,53.9
